country,date,population
Poland,01/03/22,0
Poland,02/03/22,547982
Poland,03/03/22,649903
Poland,04/03/22,756303
Poland,05/03/22,885303
Poland,06/03/22,1027603
Poland,07/03/22,0
Poland,08/03/22,1412503
Poland,09/03/22,0
Poland,10/03/22,0
Poland,11/03/22,1575703
Poland,12/03/22,1655503
Poland,13/03/22,1720227
Poland,14/03/22,0
Poland,15/03/22,1857045
Poland,16/03/22,1916445
Poland,17/03/22,0
Poland,18/03/22,2010693
Poland,19/03/22,2050392
Poland,20/03/22,2083854
Poland,21/03/22,2113554
Poland,22/03/22,2144244
Poland,23/03/22,2173944
Poland,24/03/22,2206119
Poland,25/03/22,2236314
Poland,26/03/22,2267103
Poland,27/03/22,2293833
Poland,28/03/22,0
Poland,29/03/22,2336799
Poland,30/03/22,2362044
Poland,31/03/22,2384814
Poland,01/04/22,2405703
Poland,02/04/22,2429265
Poland,03/04/22,2451342
Poland,04/04/22,2469657
Hungary,01/03/22,0
Hungary,02/03/22,133009
Hungary,03/03/22,144738
Hungary,04/03/22,157004
Hungary,05/03/22,169053
Hungary,06/03/22,180163
Hungary,07/03/22,191348
Hungary,08/03/22,214160
Hungary,09/03/22,0
Hungary,10/03/22,225046
Hungary,11/03/22,235576
Hungary,12/03/22,246206
Hungary,13/03/22,255291
Hungary,14/03/22,263888
Hungary,15/03/22,272943
Hungary,16/03/22,282611
Hungary,17/03/22,291230
Hungary,18/03/22,299273
Hungary,19/03/22,305518
Hungary,20/03/22,312120
Hungary,21/03/22,317863
Hungary,22/03/22,324397
Hungary,23/03/22,330877
Hungary,24/03/22,336701
Hungary,25/03/22,342738
Hungary,26/03/22,349107
Hungary,27/03/22,354041
Hungary,28/03/22,0
Hungary,29/03/22,364804
Hungary,30/03/22,368807
Hungary,31/03/22,374535
Hungary,01/04/22,379988
Hungary,02/04/22,385783
Hungary,03/04/22,390302
Hungary,04/04/22,394728
Republic of Moldova,01/03/22,0
Republic of Moldova,02/03/22,97827
Republic of Moldova,03/03/22,103254
Republic of Moldova,04/03/22,0
Republic of Moldova,05/03/22,84067
Republic of Moldova,06/03/22,82762
Republic of Moldova,07/03/22,0
Republic of Moldova,08/03/22,0
Republic of Moldova,09/03/22,0
Republic of Moldova,10/03/22,104929
Republic of Moldova,11/03/22,0
Republic of Moldova,12/03/22,0
Republic of Moldova,13/03/22,106994
Republic of Moldova,14/03/22,337215
