country,date,population
Poland,01-Mar-22,0
Poland,02-Mar-22,547982
Poland,03-Mar-22,649903
Poland,04-Mar-22,756303
Poland,05-Mar-22,885303
Poland,06-Mar-22,1027603
Poland,07-Mar-22,0
Poland,08-Mar-22,1412503
Poland,09-Mar-22,0
Poland,10-Mar-22,0
Poland,11-Mar-22,1575703
Poland,12-Mar-22,1655503
Poland,13-Mar-22,1720227
Poland,14-Mar-22,0
Poland,15-Mar-22,1857045
Poland,16-Mar-22,1916445
Poland,17-Mar-22,0
Poland,18-Mar-22,2010693
Poland,19-Mar-22,2050392
Poland,20-Mar-22,2083854
Poland,21-Mar-22,2113554
Poland,22-Mar-22,2144244
Poland,23-Mar-22,2173944
Poland,24-Mar-22,2206119
Poland,25-Mar-22,2236314
Poland,26-Mar-22,2267103
Poland,27-Mar-22,2293833
Poland,28-Mar-22,0
Poland,29-Mar-22,2336799
Poland,30-Mar-22,2362044
Poland,31-Mar-22,2384814
Poland,01-Apr-22,2405703
Poland,02-Apr-22,2429265
Poland,03-Apr-22,2451342
Poland,04-Apr-22,2469657
Hungary,01-Mar-22,0
Hungary,02-Mar-22,133009
Hungary,03-Mar-22,144738
Hungary,04-Mar-22,157004
Hungary,05-Mar-22,169053
Hungary,06-Mar-22,180163
Hungary,07-Mar-22,191348
Hungary,08-Mar-22,214160
Hungary,09-Mar-22,0
Hungary,10-Mar-22,225046
Hungary,11-Mar-22,235576
Hungary,12-Mar-22,246206
Hungary,13-Mar-22,255291
Hungary,14-Mar-22,263888
Hungary,15-Mar-22,272943
Hungary,16-Mar-22,282611
Hungary,17-Mar-22,291230
Hungary,18-Mar-22,299273
Hungary,19-Mar-22,305518
Hungary,20-Mar-22,312120
Hungary,21-Mar-22,317863
Hungary,22-Mar-22,324397
Hungary,23-Mar-22,330877
Hungary,24-Mar-22,336701
Hungary,25-Mar-22,342738
Hungary,26-Mar-22,349107
Hungary,27-Mar-22,354041
Hungary,28-Mar-22,0
Hungary,29-Mar-22,364804
