Date,Individuals
24-Feb-22,82955
25-Feb-22,187742
26-Feb-22,335669
27-Feb-22,507248
28-Feb-22,670855
01-Mar-22,839022
02-Mar-22,1012974
03-Mar-22,1179356
04-Mar-22,1351182
05-Mar-22,1549000
06-Mar-22,1754708
07-Mar-22,1962030
08-Mar-22,2146031
09-Mar-22,2316532
10-Mar-22,2450990
11-Mar-22,2571425
12-Mar-22,2687411
13-Mar-22,2845752
14-Mar-22,2960294
15-Mar-22,3071455
16-Mar-22,3176335
17-Mar-22,3271920
18-Mar-22,3354575
19-Mar-22,3431332
20-Mar-22,3498737
21-Mar-22,3563414
22-Mar-22,3631699
23-Mar-22,3680104
24-Mar-22,3739746
25-Mar-22,3805822
26-Mar-22,3870405
27-Mar-22,3930616
28-Mar-22,3982754
29-Mar-22,4024789
30-Mar-22,4064743
31-Mar-22,4103202
01-Apr-22,4137842
02-Apr-22,4176401
03-Apr-22,4215047
04-Apr-22,4244595
